name,degree,address,tel
SK셀프 매일주유소 개방화장실,0.0,서울 강북구 삼양로 217,
S-OIL 미아셀프주유소 개방화장실,0.0,서울 강북구 도봉로 200,
SK셀프 에덴주유소 개방화장실,0.0,서울 강북구 월계로 195,
현대오일뱅크 석산에너지주유소 개방화장실,0.0,서울 강북구 삼양로 316,
목화주유소,,서울 강서구 국회대로 251,02-2654-4564
뉴신정주유소,,서울 강서구 곰달래로 207,02-2606-1149
신화곡주유소,,서울 강서구 국회대로 71,02-2611-3161
목화주유소 개방화장실,0.0,서울 강서구 국회대로 251,
GS칼텍스 경인고속주유소 개방화장실,0.0,서울 강서구 국회대로 225,
화곡역주유소,,서울 강서구 강서로 154,02-2691-5151
경인고속주유소(EV) 전기차충전소,0.0,서울 강서구 국회대로 225 주유소 출구 안쪽,1544-5151
등촌주유소,,서울 강서구 등촌로 189,02-2647-5700
뉴신정주유소 개방화장실,0.0,서울 강서구 곰달래로 207,
화곡현대주유소,,서울 강서구 강서로 151,02-2607-1942
강서열린주유소,,서울 강서구 등촌로 213,02-2647-9091
염창동주유소,,서울 강서구 양천로 720,02-3664-4134
신화곡주유소 개방화장실,0.0,서울 강서구 국회대로 71,
신한국주유소 개방화장실,0.0,서울 강서구 공항대로71길 3,
창원CW,,서울 광진구 광나루로 460,02-3436-1112
HD현대오일뱅크직영 능동주유소,,서울 광진구 천호대로 584,02-452-7723
KLP제2주유소,,서울 성동구 동일로 249,02-465-5182
삼호주유소,,서울 광진구 천호대로 809,02-455-7200
장수주유소,,서울 광진구 동일로 266,02-498-1981
용마주유소,,서울 광진구 용마산로 68,02-456-1884
강평텔레콤 강평주유소,,서울 광진구 광장동 336-8,02-2201-0736
동일주유소,,서울 성동구 광나루로 254,02-461-7100
태양주유소,3.3,서울 광진구 동일로 345,02-464-5141
SK에너지 군자동주유소,,서울 성동구 천호대로 446,02-2244-4945
HD현대오일뱅크직영 스피드주유소,,서울 동대문구 천호대로 453,02-2216-5151
대원주유소,,서울 광진구 용마산로 122,02-444-1666
HD현대오일뱅크직영 중원셀프주유소,,서울 광진구 동일로 398,02-467-2410
성동스카이셀프주유소,,서울 성동구 천호대로 392,02-2245-8974
SK세원2주유소,,서울 성동구 광나루로 184,02-462-5665
정해네트웍스 일진주유소,,서울 광진구 동일로 413,02-461-5152
대신석유 진양주유소,,서울 송파구 올림픽로 499,02-477-1906
HD현대오일뱅크직영 중곡현대주유소,,서울 광진구 동일로 435,02-497-5151
SK KH에너지 성수만세주유소,,서울 성동구 왕십리로 109,02-499-8223
퍼스트오일 코알라주유소,,서울 강동구 올림픽로 556,02-484-1162
서울에너지 직영주유소,,서울 성동구 천호대로 324,02-3390-4338
오동나무주유소,,서울 동대문구 한천로 81,02-2247-5132
삼미상사 장안킹셀프주유소,,서울 동대문구 한천로 100,02-2242-7115
삼영주유소,,서울 동대문구 답십리로 258,02-2217-2017
자연에너지 국민주유소,,서울 동대문구 답십리로 223,02-2216-7155
극동에너지,0.0,서울 중랑구 면목로34길 14,02-438-1184
오천만주유소,,서울 중랑구 동일로 547,070-7797-7474
SK네트웍스 스피드메이트강동대로점,0.0,서울 강동구 양재대로81길 73,02-479-0179
SK방이주유소,,서울 송파구 위례성대로12길 38,02-424-3051
HD현대오일뱅크직영 성동셀프주유소,,서울 성동구 마장로 311,02-2299-7333
SK용마로주유소,,서울 중랑구 용마산로 309,02-439-3037
재정주유소,,서울 동대문구 전농로 121,070-8256-4617
재정제2주유소,,서울 동대문구 사가정로 90,02-2249-6682
아이콘주유소,,서울 성동구 고산자로 273,02-2291-5189
대원주유소,,서울 중랑구 동일로 600,02-438-6111
정호주유소,,서울 성동구 고산자로 307,02-2297-9442
금호주유소,,서울 성동구 금호로 39,02-2297-0066
열린주유소,,서울 동대문구 한천로 263,02-2215-6543
S-OIL 휘경동,0.0,서울 동대문구 한천로 263,02-2215-6543
면목주유소,,서울 중랑구 동일로 627,02-437-4072
배봉로주유소,,서울 동대문구 서울시립대로 108,02-2242-0556
자연에너지 대창주유소,,서울 중랑구 동일로 636,02-434-1448
HD현대오일뱅크직영 올림픽셀프주유소,,서울 송파구 위례성대로 188,02-448-9804
구도일동천주유소,,서울 중랑구 동일로 654,02-495-0081
대성산업 동마장주유소,,서울 동대문구 고산자로 405,02-966-5451
유진주유소,,서울 송파구 동남로 325,02-406-3956
옥수하이웨이스테이션,,서울 성동구 독서당로 168,02-2282-5151
우림주유소,,서울 중랑구 용마산로 487,02-433-9990
삼표에너지 우리주유소,,서울 송파구 동남로 153,02-3401-1588
신당동주유소,,서울 중구 다산로 242,02-2252-6688
홍능주유소,,서울 동대문구 홍릉로 87,02-966-9190
다산주유소,,서울 중구 다산로 233,02-2252-2210
약수주유소,,서울 중구 다산로 173,02-2252-3345
동서울고속주유소,,서울 동대문구 한천로 414,02-969-1144
중앙에너비스 에너비스 (ENERVIS),,서울 용산구 한남대로 82,070-8707-4572
HD현대오일뱅크직영 장원주유소,,서울 중구 동호로 203,02-2236-2759
중앙에너비스 한남지점 (ENERVIS HANNAM),,서울 용산구 한남대로21길 4,070-8707-4586
이케이에너지 강산주유소,,서울 성북구 보문로 27,02-953-1448
대성주유소,,서울 송파구 마천로 230,02-431-1991
신방주유소,,서울 성북구 안암로 111,02-922-5151
서울주유소,,서울 송파구 문정로 153,02-407-0708
풍한주유소,,서울 동대문구 안암로 168,02-924-5189
정직한주유소,,서울 송파구 오금로 455,02-406-4634
파츠오일뱅크 (직영 한남동주유소),,서울 용산구 한남대로 204,02-795-0802
HD현대오일뱅크 직영고대셀프주유소,,서울 성북구 종암로 12,02-912-5151
장충주유소,,서울 중구 장충단로 202,02-2279-9965
상아주유소,,서울 송파구 거마로 82,02-409-8251
동일주유소,,서울 성북구 보문로 85,02-923-8484
GS칼텍스 개봉동주유소,,서울 구로구 경인로 290,02-2685-5189
SK구로주유소,,서울 구로구 구일로 94,02-868-5758
자연에너지 고척주유소,,서울 구로구 고척로 199,070-8671-3106
대원셀프주유소,,서울 구로구 개봉로 7,02-2612-3880
신정동주유소,,서울 양천구 안양천로 663,02-2651-5189
개봉주유소,,서울 구로구 고척로 115,02-2618-5145
SK에너지 신평주유소,,서울 양천구 목동남로 62,02-2654-5145
구인주유소,,서울 구로구 경인로 558,02-2677-5010
현대오일뱅크직영 양천셀프주유소,,서울 양천구 목동로 17,02-2644-5185
신성주유소,,서울 구로구 구로동로 187,02-866-5189
지에스이앤알직영 서울주유소,,서울 양천구 신정로 236,02-2607-9478
구광주유소,,서울 금천구 서부샛길 674,02-868-6889
구로주유소,,서울 구로구 구로동로 137,02-857-1251
서서울고속주유소,,서울 구로구 경인로 150,02-2683-1126
서부트럭터미날 직영주유소,,서울 양천구 신정로 167,02-2614-0047
타이거오일 신정주유소,,서울 양천구 중앙로 226,02-2646-6212
구로그린주유소,,서울 구로구 구로중앙로 76,02-861-5189
디큐브주유소,,서울 구로구 경인로 650,02-2633-7188
영진주유소,,서울 구로구 구로동로 20,02-861-6625
현대오일뱅크직영 신목동셀프주유소,,서울 양천구 목동동로10길 13,02-2642-5188
HD현대오일뱅크 신구로주유소,,서울 구로구 구로동 106-5,02-859-0051
동아주유소,,서울 구로구 도림로 91,02-855-1282
서울에너지 궁동주유소,,서울 구로구 오리로 1299,070-8671-2981
대청에너지 대청주유소,,서울 영등포구 가마산로 328,02-841-8780
신월주유소,,서울 양천구 신월로 193,02-2603-5182
씨앤에스유통 구로드림주유소,,서울 구로구 경인로 41,02-2611-5180
MS에너지,,서울 영등포구 대림로 230,02-844-5151
HD현대오일뱅크직영 남부순환셀프주유소,,서울 양천구 남부순환로 553,02-2690-5001
남서울고속주유소,,서울 영등포구 가마산로 367,02-843-5151
씨앤에스유통 한일주유소,,서울 영등포구 도림로 486,02-3667-5101
극동유화 항동주유소,,서울 구로구 서해안로 2154,02-2611-1113
삼미상사 신월IC주유소,,서울 양천구 중앙로 331,02-2694-4966
영등포제일셀프주유소,,서울 영등포구 대림동 667-9,02-847-5151
SK에너지 경인주유소,,서울 양천구 국회대로 170,02-2693-4994
GS칼텍스 화일주유소,,서울 영등포구 도림로 415,02-2633-5546
현대오일뱅크 양정주유소,,서울 양천구 국회대로 158,02-2691-5185
도림주유소,,서울 영등포구 도림로 343,02-835-8881
GS칼텍스 경인고속주유소,,서울 강서구 국회대로 225,02-2608-5151
성락주유소,,서울 영등포구 가마산로 414,02-842-6148
신양주유소,,서울 양천구 지양로 67,02-2608-3312
양천구주유소,,서울 양천구 국회대로 275,02-2644-5105
HD현대오일뱅크직영 구로셀프주유소,,서울 구로구 시흥대로 531,02-856-1135
화동유업 화동주유소,,서울 금천구 시흥대로 484,02-856-0283
GS이앤알 모드니주유소,,서울 영등포구 경인로 789,02-2637-7788
HD현대오일뱅크직영 신대방셀프주유소,,서울 동작구 시흥대로 616,02-832-7926
삼표에너지 목동주유소,,서울 양천구 목동서로 129,02-2654-5153
행촌주유소,,서울 영등포구 도신로 130,070-7758-5189
SK에너지 이가주유소,,서울 금천구 시흥대로 441,02-861-2241
GS칼텍스 신길주유소,,서울 영등포구 신길로 74,02-833-1113
HD현대오일뱅크직영 대일주유소,,서울 영등포구 영등포로 168,02-2068-8700
영등포현대셀프주유소,,서울 영등포구 경인로 822,02-2678-0503
개나리셀프주유소,,서울 양천구 남부순환로 442,02-2606-5189
강서오일,,서울 영등포구 도신로 151,02-832-1700
현대오일뱅크직영 금천제일주유소,,서울 금천구 남부순환로 1410,02-859-5426
남서울경복에너지,,서울 금천구 독산로 257,02-855-9880
형산석유 원주유소,,서울 양천구 남부순환로 408,02-2690-5837
남서울경복에너지주유소 개방화장실,0.0,서울 금천구 독산로 257,
구광주유소 개방화장실,0.0,서울 금천구 서부샛길 674,
성부주유소 개방화장실,0.0,서울 금천구 가산동 142-13,
SK에너지 이가주유소 개방화장실,0.0,서울 금천구 시흥대로 441,
SK순환도로주유소 개방화장실,0.0,서울 금천구 남부순환로 1410,
상계동주유소,,서울 노원구 노원로26길 191,02-936-5035
구도일 불암주유소,,서울 노원구 한글비석로 268,02-932-6850
소모에너지엔테크놀러지 수락산주유소 개방화장실,0.0,서울 노원구 동일로 1772,
양지진흥개발 상계주유소 개방화장실,5.0,서울 노원구 노해로 527,
상계동주유소 개방화장실,0.0,서울 노원구 노원로26길 191,
불암주유소 앞 대여소,0.0,서울 노원구 중계동 391,
불암주유소 개방화장실,0.0,서울 노원구 한글비석로 268,
현대오일뱅크직영 하계주유소 개방화장실,0.0,서울 노원구 노원로17길 29,
하계삼호주유소,,서울 노원구 공릉로 294,02-974-8818
신성주유소,,서울 노원구 월계로 328,02-916-4334
월계주유소,,서울 노원구 월계로 252,02-917-7650
성북역주유소,,서울 노원구 광운로 95,02-919-8141
한신주유소,,서울 노원구 동일로 1089,02-974-5151
태릉솔밭주유소,,서울 노원구 노원로 49,02-976-5189
화랑대주유소,,서울 노원구 화랑로 483,02-977-9697
헨지스에너지 구도일주유소 도봉,,서울 도봉구 도봉로 706,02-3491-3454
송만에너지 도봉제일주유소,,서울 도봉구 도봉로 783,02-955-5185
오복주유소,,서울 도봉구 방학로 43,02-3494-1500
극동유화 대안주유소,,서울 도봉구 마들로 574,02-996-6640
서현주유소,0.0,서울 도봉구 방학로 142,02-954-5400
자연에너지 햇살주유소,,서울 도봉구 방학로 142,02-954-4555
노원교주유소,,서울 도봉구 마들로 776,02-956-5189
HD현대오일뱅크직영 영신주유소,,서울 도봉구 방학로 151,02-956-5152
GS칼텍스 방학동주유소,,서울 도봉구 방학로 186,02-3493-5189
쌍문주유소,,서울 도봉구 도봉로 547,02-992-0220
소모 수락산셀프주유소,,서울 노원구 동일로 1772,02-3392-5656
이케이에너지 도선주유소,,서울 도봉구 도봉로 941,02-3494-3641
SK에너지 상계주유소,,서울 노원구 노해로 527,02-930-5151
구도일 파크빌주유소,,서울 도봉구 해등로3길 86,02-906-5104
쌍문셀프주유소,,서울 도봉구 쌍문동 342-1,02-998-9704
삼미북부셀프주유소,,서울 도봉구 도봉로 437,02-992-5561
동일석유 창동주유소,,서울 도봉구 도봉로 434,02-902-5544
대성산업 신창주유소,,서울 도봉구 덕릉로 267,02-905-4441
현대오일뱅크직영 하계주유소,,서울 노원구 노원로17길 29,02-975-1386
정건에너지,0.0,서울 노원구 노원로17길 29,02-975-1386
신광주유소 대성석유직영점,,서울 강북구 삼양로 484,02-908-3320
HD현대오일뱅크직영 번동셀프주유소,,서울 강북구 한천로 963,02-992-3331
현대오일뱅크 직영번동셀프주유소,0.0,서울 강북구 번동 410-94,
씨앤에스유통 미아셀프주유소,,서울 강북구 도봉로 200,02-945-7999
지에스이앤알 미아주유소,,서울 강북구 도봉로 122,02-987-5152
SK에너지 매일주유소,,서울 강북구 삼양로 217,02-982-8855
SK에너지 드림랜드주유소,,서울 성북구 월계로 128,02-916-9906
원천주유소,,서울 성북구 돌곶이로 142,070-4063-1057
신동방주유소,,서울 성북구 월계로 84,02-918-5151
장삼쌍둥이주유소,,서울 성북구 한천로 612,02-909-0314
배꽃나라주유소,,서울 노원구 화랑로 466,02-973-5172
우리주유소,,서울 성북구 화랑로 292,02-969-5185
삼육주유소,,서울 노원구 화랑로 822,02-949-3677
GS칼텍스 화랑주유소,,서울 성북구 화랑로 185,02-942-5152
GS칼텍스 세창주유소,,서울 성북구 동소문로 323,02-988-2491
재정제2주유소 길음지점,,서울 성북구 삼양로 78,02-980-1311
신용 구도일주유소 화랑로주유소,,서울 성북구 화랑로 174,02-963-0051
범아주유소,,서울 중랑구 동일로 881,02-974-8356
신성주유소 개방화장실,0.0,서울 동대문구 장안동 430-8,
HD현대오일뱅크직영 스피드주유소 개방화장실,0.0,서울 동대문구 천호대로 453,
삼미상사 장안킹셀프주유소 개방화장실,0.0,서울 동대문구 한천로 100,
오동나무주유소 개방화장실,0.0,서울 동대문구 한천로 81,
삼영주유소 개방화장실,0.0,서울 동대문구 답십리로 258,
한영주유소,,서울 동대문구 망우로 38,02-2214-9890
답십리주유소 개방화장실,0.0,서울 동대문구 답십리로 223,
성산대교주유소,,서울 마포구 성산로 144,02-323-0078
타이거통상 월드컵주유소,,서울 마포구 월드컵북로 170,070-4121-0021
안국에너지 망원동주유소,,서울 마포구 월드컵로 119,02-334-0917
청원주유소,,서울 마포구 월드컵북로 113,02-325-5533
타이거주유소,,서울 은평구 수색로 188,02-309-9145
마포시엠주유소,,서울 마포구 월드컵북로 62,02-338-9447
삼미상사 서부주유소,,서울 서대문구 성산로 255,02-334-4919
명연에너지 수색훼미리주유소,,서울 은평구 수색로 236,02-374-8770
가재울뉴타운주유소,,서울 서대문구 모래내로 205,070-8879-7864
한화미 구도일주유소 두꺼비,,서울 서대문구 성산로 312,02-336-0611
SK에너지 안국주유소,,서울 마포구 양화로 33,02-3144-1197
중앙에너비스 동교지점 (ENERVIS DONGGYO),,서울 서대문구 연희로 12,070-8707-4568
남정주유소,,서울 서대문구 모래내로 243,02-305-9828
안국에너지 삼보셀프주유소,,서울 서대문구 연희로 78,02-336-6151
응암주유소,,서울 은평구 응암로 163,02-303-1448
GS칼텍스 수색뉴타운주유소,,서울 은평구 수색로 350,02-309-5051
연희주유소,,서울 서대문구 연희로 129,02-338-8045
미래아스팔트 신우주유소,,서울 서대문구 가좌로 106,02-304-5522
현대오일뱅크직영 양천현대셀프주유소,,서울 양천구 안양천로 1179,02-2653-5189
GS칼텍스 건지주유소,,서울 양천구 안양천로 1171,02-2644-5108
HD현대오일뱅크직영 양화교셀프주유소,,서울 강서구 공항대로 653,02-3665-2004
GS칼텍스 서부주유소,,서울 은평구 응암로 210,02-302-6041
현대오일뱅크직영 목동셀프주유소,,서울 양천구 공항대로 648,02-2648-4204
현대오일뱅크직영 연세주유소,,서울 서대문구 연희로 184,02-337-8220
선유도주유소,,서울 영등포구 양평로 141,
에스에스오토주유소,,서울 마포구 서강로 76,02-336-5185
GS칼텍스 신사제일주유소,,서울 은평구 증산로 423,02-308-4333
SK에너지 기린주유소,,서울 영등포구 선유로 270,02-2671-5182
제2한강주유소,,서울 영등포구 선유로 260,02-2633-2716
오일닷컴 다회주유소,,서울 은평구 증산로 441,02-375-5156
광호주유소,,서울 서대문구 연희로 266,02-395-7236
행촌제2주유소,,서울 서대문구 성산로 490,02-365-5189
코리나 청룡주유소,,서울 강서구 양천로 576,02-3661-1575
목동주유소,,서울 양천구 목동중앙로 125,02-2645-5104
SK에너지 양평주유소,,서울 영등포구 선유로 195,02-2633-1013
만성상사 대흥주유소,,서울 마포구 대흥로 61,02-3273-5151
용강주유소,,서울 마포구 토정로 258,070-7795-4800
SK KH에너지 여의도주유소,,서울 영등포구 국회대로 794,02-761-5107
버드나룻길주유소,,서울 영등포구 버드나루로 111,02-2634-5104
하이웨이주유소,,서울 강서구 공항대로 432,02-2605-4000
에쓰오일 염리동주유소,,서울 마포구 백범로 126,02-3272-5155
국회대로주유소,,서울 영등포구 국회대로 746,02-761-5122
창원이엔지 홍제지점,,서울 서대문구 통일로 455,02-379-0753
SJ오일 여의도주유소,,서울 영등포구 은행로 64,02-785-8201
성원E&S 영등포지점,,서울 영등포구 국회대로 665,02-2635-7781
박물관주유소,,서울 강서구 양천로53길 97,02-3665-5189
HD현대오일뱅크직영 독립문주유소,,서울 서대문구 통일로 384,02-735-0333
GS칼텍스 홍제동주유소,,서울 서대문구 통일로 372,02-736-3708
코끼리주유소,,서울 은평구 서오릉로 41,02-384-4000
SK에너지양지주유소,,서울 마포구 마포대로 69,02-706-8955
HD현대오일뱅크직영 가양주유소,,서울 강서구 양천로 391,02-3661-9470
에쓰오일 마포주유소,,서울 마포구 마포대로 186,02-711-5189
대성산업 대성주유소,,서울 은평구 통일로 642,02-355-3434
이케이에너지 강서주유소,,서울 강서구 화곡동 983-1,02-2699-5219
HD현대오일뱅크직영 강변현대주유소,,서울 용산구 원효로 9,02-712-7124
우남에너지 문화사랑주유소,,서울 서대문구 세검정로 87,02-395-4300
SK KH에너지 가양주유소,,서울 강서구 강서로 498,02-3664-6051
대성석유 관문주유소,,서울 강서구 공항대로 314,02-3665-2051
대성주유소,,서울 강서구 강서로 472,02-3661-6102
대성석유 마곡대성주유소,,서울 강서구 강서로 457,02-3664-7781
세원제1주유소,,서울 강서구 양천로 311,02-3663-5151
오션네트웍스 서울식물원지점 주유소,,서울 강서구 양천로 300,02-3661-8829
대양씨앤씨 사직주유소,,서울 종로구 사직로 65,02-735-4858
SK에너지 신길동주유소,,서울 영등포구 영등포로 348,02-843-0481
우장산주유소,,서울 강서구 강서로 292,02-3664-7163
HD현대오일뱅크직영 갈월동주유소,,서울 용산구 한강대로 322,02-754-5217
불광주유소,,서울 은평구 연서로 314,02-382-5149
은평뉴타운주유소,,서울 은평구 통일로 924,02-355-0349
가로공원주유소,,서울 양천구 가로공원로 165,02-2695-3423
현대오일뱅크 직영 소월길주유소,,서울 용산구 소월로 66,02-318-3314
양지진흥개발,0.0,서울 용산구 한강대로21나길 40,02-710-7735
GS칼텍스 대방주유소,,서울 동작구 여의대방로 214,02-826-5145
박석고개주유소,,서울 은평구 통일로 945,02-388-0477
대성석유 방화대성주유소,,서울 강서구 양천로 176,02-3663-7781
경복궁주유소,,서울 종로구 율곡로 6,02-6016-6981
성원E&S 은평지점,,서울 은평구 통일로 968,02-352-4451
플라트 서호주유소,,서울 양천구 남부순환로 317,02-2602-5172
현대주유소,,서울 양천구 남부순환로 372,02-2608-9231
한석주유소,,서울 용산구 이촌로 164,02-790-1020
HD현대오일뱅크직영 재동주유소,,서울 종로구 율곡로 58,02-732-3968
구도일주유소 특종,,서울 종로구 평창문화로 90,02-379-6524
매일셀프주유소,,서울 동작구 상도로 139,02-817-4085
한경석유 경덕주유소,,서울 영등포구 여의대방로23길 2,02-843-3900
뉴타운셀프주유소,,서울 은평구 통일로 1031,02-355-3055
타이거오일 방화주유소,,서울 강서구 방화동로 58-2,02-2662-0503
문화촌주유소 개방화장실,0.0,서울 서대문구 세검정로 87,
연일가스산업주유소,,서울 서대문구 수색로 123,02-307-5411
마봉신우주유소 개방화장실,0.0,서울 서대문구 가좌로 106,
광호주유소 개방화장실,0.0,서울 서대문구 연희로 266,
독립문주유소 개방화장실,0.0,서울 서대문구 통일로 384,
남정주유소 개방화장실,0.0,서울 서대문구 모래내로 243,
코리아상사연세주유소 개방화장실,0.0,서울 서대문구 연희로 184,
연희주유소 개방화장실,0.0,서울 서대문구 연희로 129,
연일가스산업 주유소 개방화장실,0.0,서울 서대문구 수색로 123,
청계로주유소,,서울 성동구 청계천로 454,02-2294-4225
옥수주유소 개방화장실,0.0,서울 성동구 독서당로 168,
청계로주유소 개방화장실,0.0,서울 성동구 청계천로 454,
아이콘주유소 개방화장실,0.0,서울 성동구 고산자로 273,
